,time,center_of_mass,eccentricity,variance_of_radius,mean_radius,rna_amount,c_light,c_dense,volume,velocity,aspect
0,0.0,9.990947084935877,0.10260702546505374,0.00045940949053959715,1.9563536622163542,0.00012581952574239807,3.560060501098633,5.496648788452148,12.568511838615311,10.131605635949796,1.005306035046033
1,0.00015937424905132502,9.992561801975791,0.24191370202750714,0.0009111804787021381,1.9659894531702864,0.0023313685563922694,3.5603716373443604,5.448276519775391,12.775685110337616,-4.590084017200633,1.0306114595115614
2,0.0005727499956265092,9.990664372635132,0.1590089311675089,0.0004763432212355139,2.0549857917620824,0.008050107232778454,3.5599613189697266,5.331789016723633,13.7770225915302,-0.014786110265624562,0.9872771443768799
3,0.0016449402319267392,9.990648519112073,0.1590089311675089,0.00047617296950666697,2.054986736685375,0.02287035287802937,3.5602266788482666,5.318380355834961,13.7770225915302,0.6176147444566316,0.9872771443768799
4,0.0044259256683290005,9.992366096793614,0.1405329193922149,0.0008819625237134902,2.1015989565819555,0.06122502968216999,3.560231924057007,5.2462992668151855,14.3640135268313,0.30594292517635296,0.9900760064596562
5,0.011639085598289967,9.99457291204235,0.09973853170201351,0.0007550973092363329,2.149118275296664,0.1601363853758409,3.560239553451538,5.1612396240234375,15.123648852274027,-0.15099668056199447,1.0050113070174358
6,0.030348163098096848,9.991747903302876,0.21525955165842822,0.00041157663225208064,2.2422066122239066,0.4128908911550179,3.5602269172668457,5.044865131378174,16.31489516099937,0.06886751172330521,0.9765568725987301
7,0.07887469232082367,9.995089804623014,0.1172894727977505,0.000359360193301704,2.3456477686403923,1.0436817294045189,3.560333490371704,4.914269924163818,17.83416574976672,-0.08742303552804316,0.993097769391728
8,0.2047400176525116,9.984086275814793,0.13812045695109396,0.0006119472187043804,2.4742859273280766,2.5252999860731546,3.560546875,4.763879776000977,19.940427114025784,0.016585693067296185,1.0096773150591787
9,0.5312022566795349,9.989500878309357,0.08132763865691209,0.0004398205606732391,2.6551925070921767,5.51195155678098,3.5607545375823975,4.605604648590088,22.82358762826229,0.0035804673141643893,1.0033235886444825
10,1.377961277961731,9.992532671308032,0.11785951024979469,0.000488183329001352,2.809424171807846,9.672612029407137,3.5612947940826416,4.483779430389404,25.43051610689143,-0.0009765960665194164,1.007018638530058
11,3.5742359161376953,9.990387798018974,0.08280387620635908,0.00031547902236304384,2.9185462169049137,12.243200529012666,3.5618367195129395,4.407045841217041,27.295072411773283,-0.0018017930606028345,0.9965658623920458
12,9.270807266235352,9.980123755291139,0.19359448904525156,0.0009178706242314242,2.95978027057476,12.57931998927152,3.5617592334747314,4.3783769607543945,28.31367252772165,-0.0017408062805660126,0.9810816346315469
13,19.19789695739746,9.962842615209022,0.1955494302671728,0.0009852652368697,2.9808801082935816,12.582075697279606,3.5611815452575684,4.379169464111328,28.76254793198825,-0.0022683621030898495,0.9806938463772392
14,29.19789695739746,9.940158994178123,0.22610396766248309,0.0012510803594190086,3.0192993412982405,12.582078386900458,3.560448169708252,4.37967586517334,29.349538902376814,-0.001847184718050967,0.9741031751345864
15,39.197898864746094,9.921687143474388,0.274598872766223,0.0019238321576061962,3.046972535047447,12.582078390014514,3.5597565174102783,4.380120754241943,29.902000306166407,-0.0021723039763168472,0.9615588692719337
16,49.197898864746094,9.89996410371122,0.27269737599104993,0.001780885525050809,3.064880615632388,12.58207839001525,3.559217929840088,4.382717609405518,30.247289092796738,-0.0016099270213050687,0.9620998602679433
17,59.197898864746094,9.88386483349817,0.2018280966079325,0.0009421053757382906,3.101613330848556,12.58207839001525,3.5585598945617676,4.382336616516113,30.79975065118555,-0.0018697279904809961,0.9794209612927524
18,69.1978988647461,9.86516755359336,0.15981230206865882,0.0008795745112107027,3.1185928791320543,12.58207839001525,3.557990074157715,4.383228302001953,31.23136161289581,-0.001746940724225432,0.9871474196428393
19,79.1978988647461,9.847698146351105,0.14912894139042868,0.0006880380582371199,3.1441460393449043,12.58207839001525,3.557373046875,4.3828654289245605,31.749293350429724,-0.0010564755226859291,0.9888177581535286
20,89.1978988647461,9.837133391124246,0.2146199847119506,0.000870867860091529,3.1603502777800907,12.58207839001525,3.5569210052490234,4.3852105140686035,32.02552356038564,-0.0023704197691383653,0.9766976308777666
21,99.1978988647461,9.813429193432862,0.1322164812089609,0.000464888267664687,3.1886396427880044,12.58207839001525,3.556307792663574,4.384281158447266,32.560721029967766,-0.0030103853964529746,0.99122086443775
22,109.1978988647461,9.783325339468332,0.0380230064332537,0.00027407776668192054,3.2068992951222497,12.58207839001525,3.5557641983032227,4.384540557861328,32.99233125156664,-0.001235699235383514,1.0007236592759825
23,119.1978988647461,9.770968347114497,0.03525148753592753,0.0004919783834375509,3.218918945223003,12.58207839001525,3.5553159713745117,4.386269569396973,33.285826719924586,-0.002452368669466273,1.0006219133703993
24,129.19789123535156,9.746444679129922,0.08934352071482786,0.00042124878750175634,3.245226088622515,12.58207839001525,3.55474853515625,4.385679244995117,33.76923013451407,-0.001408698425175281,1.0040151861093496
25,139.19789123535156,9.73235769487817,0.08839314900698639,0.0006673618987793765,3.254724916487191,12.58207839001525,3.5543324947357178,4.387571811676025,34.0281967265814,-0.002134104717545782,1.0039297176394166
26,149.19789123535156,9.711016647702712,0.15108175019977993,0.0006309130083469894,3.275762794153924,12.58207839001525,3.553806781768799,4.387381553649902,34.459807682529814,-0.0022012639414423774,1.0116120194377582
27,159.19789123535156,9.689004008288288,0.16338290608622233,0.0006265851728962527,3.294252692841992,12.58207839001525,3.5533287525177,4.387927532196045,34.822360941477996,-0.0017999175939612754,1.0136202865011332
