time,center_of_mass,eccentricity,variance_of_radius,mean_radius,rna_amount,c_light,c_dense,volume,velocity,aspect,smoothed_distance,smoothed_velocity,Mc,Mm,Chi,kp,kd,sigma,alpha,cplus,cminus,analytical_velocity,analytical_velocity_normV,analytical_velocity_avgR
5879.19775390625,0.1503874287702431,0.0908142442805841,0.000354183094484,3.696760169440539,9.70359416420254,3.5092358589172363,4.409996032714844,43.74808913239468,,1.0041492963355596,0.1633117526190282,4.58957920709574e-5,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0003339210115929009,0.01209745544049779,0.00038072441038690126
5579.19775390625,0.2599740285665394,0.1047065787830135,0.0001744843047817,3.700462870296135,9.70359416420254,3.5093371868133545,4.411291122436523,43.60997361753736,-0.0006186852796398,1.0055272237256991,0.2632764084770063,0.0005294338463355894,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0005365324694642577,0.01946244833051129,0.0006127367149634934
5409.19775390625,0.3625643909243312,0.1110710027718169,0.0005615163591581,3.689722637488384,9.70359416420254,3.509329319000244,4.411409854888916,43.60997361726883,-0.0005576075229213,0.9938124734290988,0.3676637706429969,0.0006860947483309683,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0007516351580087071,0.027091780838310583,0.0008534173137092136
5279.19775390625,0.4590349558824605,0.0503253198485056,0.0004446007870284,3.6846102750107295,9.70359416420254,3.5093741416931152,4.412146091461182,43.54091586006638,-0.00077296530665,1.0012687293421287,0.465516091593026,0.0008050128025145001,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0009510338008086508,0.03416535168662976,0.0010770317798963602
5179.19775390625,0.5444816680267451,0.0918370820973518,0.0006688556338875,3.6924496428529014,9.70359416420254,3.509243965148926,4.4105706214904785,43.71356025325778,-0.0006182275346643,0.9957740458316054,0.5613763848968458,0.001044863179106341,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0011384950010072117,0.04100490755150459,0.0012937304389778238
5089.19775390625,0.6548234606288669,0.1355249015540897,0.000418725955734,3.701715708491747,9.70359416420254,3.5092692375183105,4.410892963409424,43.679031374635926,-0.0013089171676674,1.009311972369795,0.664835838471044,0.0012695383955133588,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0013362744693815511,0.04826214136181497,0.0015244126656760964
5019.19775390625,0.7483727854207008,0.1963572908529502,0.0011660050331051,3.69311517732085,9.70359416420254,3.5092251300811768,4.410494804382324,43.730824692590886,-0.0009103298894395,1.0198540976529449,0.7580463926476636,0.0013852425242709063,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0015227115663285818,0.05467244013108564,0.001728914189150749
4949.19775390625,0.8532787580680812,0.2479844874433067,0.0018092818352058,3.692916827036253,9.70359416420254,3.509214401245117,4.410300254821777,43.748089132014215,-0.0015789521406373,1.032243143477805,0.8630474416854428,0.0015508289690527033,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0017233246810124886,0.06172932706960519,0.001954983941204087
4889.19775390625,0.956425379718457,0.2755302848178939,0.002368040683819,3.691117935054864,9.70359416420254,3.5092835426330566,4.411019325256348,43.66176693587891,-0.0022087152307298,1.0402662173737875,0.9642376790875321,0.0017870268533981062,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0019142041458426774,0.0683459042758007,0.002168036626156622
4839.19775390625,1.0411037091494282,0.2962791980462488,0.0037333570921731,3.6970599870826417,9.70359416420254,3.509267091751098,4.410562992095947,43.696295814651336,-0.0019240945528764,1.047009276735179,1.0571298528889834,0.0019682625281862084,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.00207875310220109,0.07424522468417367,0.002358859170699188
4789.19775390625,1.141154821168529,0.2824734988590253,0.0037696377653262,3.7017383119516425,9.70359416420254,3.5091376304626465,4.408623218536377,43.88620464739876,-0.0020557810929061,1.042453825084893,1.1591369680008123,0.0020724815149224182,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0022560496725907058,0.08051273474646815,0.002563252431629217
4739.19775390625,1.25564716693378,0.3287405545525936,0.0059329773131419,3.7005979791177936,9.70359416420254,3.509246587753296,4.409451961517334,43.76535357248772,-0.0025865729061703,1.058850631416516,1.2695287432930733,0.002302433248384479,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0024485824986835666,0.08703300780127982,0.002777212566981188
4699.19775390625,1.3494324410005605,0.3564225077440931,0.0075459966598165,3.684368016558502,9.70359416420254,3.509378433227539,4.410647869110107,43.6099736195128,-0.0023174059952873,1.070291515351134,1.3648787113415968,0.002467145672284718,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.002628077391549618,0.09242767449433761,0.0029556887687378183
4659.19775390625,1.447101007489026,0.362830806764896,0.0094809113131766,3.69663995251863,9.70359416420254,3.5093204975128174,4.409042835235596,43.73082469513129,-0.0030870216242423,1.073128290111318,1.467520034263066,0.0026614338474199167,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0027807631173674824,0.09796979546676926,0.0031411627900691324
4619.19775390625,1.556611245168766,0.380356123605301,0.0115016873520205,3.701798156004377,9.70359416420254,3.509369373321533,4.408656597137451,43.71356025627693,-0.0032325438549452,1.0812679888479977,1.5770316535464945,0.0028447406462254188,1.0,1.0,-0.1,0.07,1.0,2.5,1.0,4.5,3.5,0.0029458540577121835,0.10357732935309706,0.0033298852199661138
