time,center_of_mass,eccentricity,variance_of_radius,mean_radius,rna_amount,c_light,c_dense,volume,velocity,aspect,smoothed_distance,smoothed_velocity,Mc,Mm,Chi,kp,kd,sigma,alpha,cplus,cminus
5879.19775390625,0.8101466800690882,0.2523783640724119,0.0011136539005778,3.45797649091291,11.05840597185476,3.506446599960327,4.406527519226074,38.25799743508177,,1.0334543349221152,0.9037662260330274,0.00034685238972880227,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5799.19775390625,0.9781544405729068,0.256500022799871,0.0022007298352747,3.456157942888288,11.05840597185476,3.506549596786499,4.403926849365234,38.29252631346401,-0.0025918529378271,1.0346138070494568,1.0004019789953686,0.0022022882692752446,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5759.19775390625,1.0690210551207049,0.2845898002479821,0.0035307810418347,3.441111365606424,11.05840597185476,3.506793737411499,4.404526233673096,38.08535304197002,-0.0021496136602035,1.0431342411851596,1.0997627533423304,0.002647658509917508,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5729.19775390625,1.157458946626026,0.3098669625260585,0.003796433127343,3.4329985911123178,11.05840597185476,3.5070431232452397,4.405435085296631,37.86091533097526,-0.0028963024086488,1.0517681051556105,1.1812456082080067,0.002840996266107808,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5689.19775390625,1.27289533947951,0.3605376558998576,0.0060114070561029,3.4356375087247333,11.05840597185476,3.5072028636932373,4.403446197509766,37.82638645266232,-0.0028279061638072,1.0721047721629902,1.3010960957064304,0.0031182830663233074,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5669.19775390625,1.3401140092189865,0.3628020811989088,0.0068602745499103,3.435144488403107,11.05840597185476,3.50729775428772,4.402184009552002,37.80912201352403,-0.0041730361056943,1.073115410502572,1.3652475232748957,0.003328585451370894,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5639.19775390625,1.4320818527157952,0.3711730835077638,0.0088877615684178,3.424050887997224,11.05840597185476,3.5076451301574707,4.402981758117676,37.51562654576618,-0.0026737272141799,1.07693204210883,1.4681172576370336,0.003535015010963191,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5609.19775390625,1.541925837068528,0.3984112107457695,0.0103487951964961,3.419505630333622,11.05840597185476,3.507878541946411,4.401303291320801,37.41203991060546,-0.0034600053596074,1.0902665409608892,1.5785264564139878,0.0038189365805267744,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5589.19775390625,1.6219286598945284,0.4043846277272332,0.0119054437923654,3.409824405182947,11.05840597185476,3.508125066757202,4.401022434234619,37.23939551814614,-0.0038235540917511,1.0933872807504637,1.6564538682440968,0.004010354086255594,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5569.19775390625,1.706042145020829,0.4216670689358632,0.0149317553916298,3.3949757422215856,11.05840597185476,3.508408308029175,4.400890350341797,37.03222224729815,-0.0048585138222179,1.1028389269185035,1.7387667369756177,0.004207427183975335,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5549.19775390625,1.7819995186861135,0.4363738710027483,0.017542293273941,3.384486018824204,11.05840597185476,3.508726119995117,4.4009623527526855,36.79052009842199,-0.004006150951921,1.1114007684359386,1.82476190787554,0.004428923178090474,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5519.19775390625,1.9229578535738476,0.4831616472935686,0.0237293240696324,3.372394715282704,11.05840597185476,3.50919508934021,4.399960994720459,36.47976019234127,-0.005378967949962,1.1421637959537925,1.9617547993184925,0.00474028842400373,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5509.19775390625,1.9707756308700728,0.4725055930123305,0.0241073788589651,3.369666847868872,11.05840597185476,3.509331464767456,4.399148464202881,36.41070243572006,-0.0047817777296225,1.1346517672420926,2.009806317257587,0.004841372388113996,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5489.19775390625,2.062774702133141,0.4783883297346799,0.0258098680439279,3.3630580083436685,11.05840597185476,3.5096323490142822,4.397411823272705,36.25532248376744,-0.004948955034315,1.138759695037171,2.1085744443387036,0.005094591300869311,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5469.19775390625,2.172109112000796,0.5178252418599499,0.0330810444027054,3.346177332721361,11.05840597185476,3.510095357894897,4.397719383239746,35.89276926032158,-0.0059463191990146,1.1689256238654515,2.212710144294989,0.005319181344678986,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5449.19775390625,2.2742722277641185,0.530942062597764,0.0372413695666047,3.326482402259213,11.05840597185476,3.510560274124145,4.3975677490234375,35.547480476183765,-0.0055219035863307,1.180068934187609,2.32195697120852,0.005551303522466952,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5439.19775390625,2.334723476761866,0.5233590231305107,0.038802092372007,3.3244945142974167,11.05840597185476,3.510735034942627,4.396433353424072,35.46115828089597,-0.0060451248997747,1.1735542683628268,2.3778837704410773,0.005695960955173662,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5419.19775390625,2.4424107942920523,0.5524649190164047,0.0462151348760037,3.31087401426705,11.05840597185476,3.511277914047241,4.396493911743164,35.046811740158546,-0.0067268038183031,1.1997080151501704,2.4941716792140567,0.0058977448564304785,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5399.19775390625,2.559211715440717,0.5628771044574847,0.0496598806904083,3.291377863979601,11.05840597185476,3.51171875,4.394585609436035,34.787845153238464,-0.0056255519590301,1.2098619216784283,2.615117462882222,0.0061943514364282415,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5389.19775390625,2.621772605053161,0.5725336562634942,0.0510506997353139,3.300080756743517,11.05840597185476,3.5119919776916504,4.394129276275635,34.59793632259329,-0.0062560889612443,1.2196888737518945,2.6777181161691677,0.0063115095940682875,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5369.19775390625,2.7507635689574346,0.5970140384304801,0.0606210446508102,3.265463838998192,11.05840597185476,3.512465476989746,4.391960620880127,34.32170529730971,-0.0055313986969689,1.2465240856035829,2.8053757293834076,0.006489449399710939,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5359.19775390625,2.8248891231018924,0.5999741451990477,0.0612691917888236,3.278652993343526,11.05840597185476,3.5127711296081543,4.391736507415772,34.09726758838589,-0.0074125554144457,1.2499697031594512,2.8711366427578064,0.006645406253388608,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5349.19775390625,2.883984943021752,0.586511630517539,0.0625159934098898,3.2518332267222387,11.05840597185476,3.513078451156616,4.391445636749268,33.872829879765376,-0.0059095819919859,1.2346581306721462,2.9382838544511793,0.006735228333876131,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5329.19775390625,3.029016571492541,0.6038662347493999,0.0680973250736785,3.235667648480615,11.05840597185476,3.513660430908203,4.3897199630737305,33.49301221970816,-0.0079687887364779,1.2545702846466744,3.0753612648427433,0.007004025302766753,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5319.19775390625,3.0888676316151207,0.6202834074994069,0.07647188107049,3.224435361966779,11.05840597185476,3.5140249729156494,4.390064716339111,33.19951675423639,-0.0059851060122579,1.2748958875339114,3.145921715490664,0.0070630663042164366,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
5309.19775390625,3.1639637954009925,0.6281201683319034,0.0762513945542905,3.2137496236992584,11.05840597185476,3.514259099960327,4.388055324554443,33.095930121548975,-0.0075096163785871,1.285154848631782,3.2166225909270723,0.007146063999929203,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5
