time,center_of_mass,eccentricity,variance_of_radius,mean_radius,rna_amount,c_light,c_dense,volume,velocity,aspect,smoothed_distance,smoothed_velocity,Mc,Mm,Chi,kp,kd,sigma,alpha,cplus,cminus
5879.19775390625,0.002564124542442,0.1159733959066098,0.0004179274875212,3.830504268959265,13.862277374167022,3.504317283630371,4.419138431549072,46.872952645292536,,1.006793520371539,0.003554053219866758,5.799913471347474e-06,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
4409.19775390625,0.102583890496286,0.0441289285250608,0.000440956899488,3.833902928184036,13.862277374167022,3.504225015640259,4.418089866638184,46.993803719729854,-0.0004118477417572,1.000975105560603,0.10611803367857311,0.0003183991700179776,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
4139.19775390625,0.2029467905535717,0.1342252167209656,0.0003904033029034,3.8290300516216456,13.862277374167022,3.50426721572876,4.4188337326049805,46.9247459624916,-0.0005269323517214,1.0091317827945998,0.20643057408021043,0.0004986035210555687,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3969.197998046875,0.3021031253947157,0.0775015058441493,0.0009366257552816,3.815501074964973,13.862277374167022,3.504385709762573,4.420523166656494,46.75210156934383,-0.0007895647964702,1.0030168389720502,0.3110343629217699,0.00072984694838211,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3849.197998046875,0.3981264991717687,0.1383387741640042,0.0004088801435976,3.8259679864020746,13.862277374167022,3.504259824752808,4.4192657470703125,46.90748152313503,-0.0004067976761467,1.0097083790262489,0.4137757793421146,0.00104009148768347,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3759.197998046875,0.5101868214376045,0.1442437324101494,0.0006471617553653,3.8320131586516495,13.862277374167022,3.504188299179077,4.4185872077941895,46.99380371967027,-0.0017575081728364,1.0105683316708107,0.5129311852275816,0.0012605559190636065,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3679.197998046875,0.6036011039868034,0.2109250833777426,0.001204067695583,3.836042968714661,13.862277374167022,3.504178285598755,4.418726921081543,46.99380371980286,-0.0014079521557708,1.0230155692197076,0.6217301239273941,0.0014758499402326222,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3619.197998046875,0.7023421202282317,0.160519232648513,0.0012504119105038,3.836412426610722,13.862277374167022,3.504067897796631,4.41758918762207,47.13191923452025,-0.0015871564397329,1.0131376469371416,0.7164329226281965,0.0017420081483021863,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3559.197998046875,0.8094476570795319,0.2499460497286855,0.0019439027776333,3.84345174348518,13.862277374167022,3.504086494445801,4.417661190032959,47.11465479578254,-0.0020786193308392,1.0327807023522984,0.8270016352402166,0.0019430976095644176,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3509.197998046875,0.9188768616054231,0.2751315006682815,0.0034390174884687,3.829045735841264,13.862277374167022,3.504176616668701,4.418737411499023,46.99380372109305,-0.0022768577480892,1.0401426371658438,0.9304632927836292,0.0022423369041703195,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3469.197998046875,0.9981818828557284,0.3285012923572279,0.0065528631037543,3.8344804528697582,13.862277374167022,3.504082679748535,4.417385101318359,47.13191923597899,-0.0017228860526469,1.0587573025540005,1.0238853851793182,0.0024366177740545655,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3429.197998046875,1.0976977717309726,0.360485123536515,0.0081590320922868,3.8417988317760265,13.862277374167022,3.5040900707244877,4.41693639755249,47.14918367576621,-0.0023449962799158,1.072081435248411,1.125180247495722,0.002634347906289407,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3389.197998046875,1.211419480968957,0.3699911365610407,0.010396994957046,3.839363642896277,13.862277374167022,3.5041697025299072,4.417157173156738,47.08012591935393,-0.0030605806976301,1.0763853830436063,1.2363363274319503,0.0029164914438745,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3359.197998046875,1.3025312642799076,0.4002276193533563,0.0134227343395369,3.8278484579476326,13.862277374167022,3.504260778427124,4.417551040649414,46.99380372387935,-0.0032306298087317,1.091207767440257,1.3269408565018328,0.0031140735052530566,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3329.197998046875,1.3943358060079718,0.4168467563297988,0.0179609351257418,3.8386623554752695,13.862277374167022,3.504199743270874,4.415741443634033,47.13191923865508,-0.0034829399814541,1.1001381167625104,1.4246406664881315,0.0033788975298735396,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3299.197998046875,1.4998498882726992,0.4621693664746534,0.0244756414555408,3.8343686703291935,13.862277374167022,3.5043418407440186,4.41609001159668,47.01106816425322,-0.0035741072066332,1.127660562248887,1.5280993025403609,0.0035640304790091754,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3269.197998046875,1.6048120727671047,0.4832011451209494,0.0317234255798185,3.82707647464252,13.862277374167022,3.504430294036865,4.415521621704102,46.97653928698621,-0.0033539352298143,1.1421922330207508,1.639431654456164,0.0038431572793324598,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3249.197998046875,1.6799317676617198,0.497544661683085,0.0360409243710484,3.829793156219927,13.862277374167022,3.5044984817504883,4.414902210235596,46.95927484840094,-0.0040587700188936,1.152819664537188,1.7179417719227168,0.0040102585825096265,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3219.197998046875,1.8072200952793176,0.5037675410148915,0.0464692426028626,3.831291660354678,13.862277374167022,3.504645586013794,4.414175510406494,46.89021709223856,-0.0040506546096511,1.157622775414796,1.8416380589166768,0.004273796826232967,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3199.197998046875,1.8822944206906616,0.5532950177123862,0.057544951791685,3.8363174778207743,13.862277374167022,3.504812717437744,4.4141693115234375,46.769366018438845,-0.0038369092296828,1.2005012793306555,1.92877047634075,0.004459535933835357,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3179.197998046875,1.977798659264992,0.5684587539470873,0.0618241677863119,3.822322110148158,13.862277374167022,3.504927158355713,4.413228511810303,46.73483714052321,-0.0042247733390369,1.2154925271673334,2.020291733636899,0.004681794858224189,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3149.197998046875,2.130671028153389,0.5825815791017361,0.0797718198183849,3.812375799803677,13.862277374167022,3.5051674842834477,4.412181854248047,46.61398606758375,-0.005762731158502,1.2303569913870032,2.1658532371119743,0.004989295542624492,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3129.197998046875,2.2180603304874578,0.6105794700688467,0.0999459059090838,3.824600993852553,13.862277374167022,3.505427360534668,4.412200927734375,46.42407723681561,-0.0054140388332772,1.262698018200597,2.2672455508365488,0.005195395977482753,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3119.197998046875,2.275435502367661,0.6113744078827135,0.1022493390389522,3.8087081915815335,13.862277374167022,3.5055863857269287,4.412294864654541,46.303226162297086,-0.0057375171880203,1.2636769699711343,2.320025627077654,0.005328046901857911,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3099.197998046875,2.378767185699433,0.6320715890675573,0.1179702092901657,3.823707609629368,13.862277374167022,3.505691766738892,4.409799098968506,46.35501948203439,-0.0050927318438329,1.2904724439020083,2.429546638473761,0.0055828626606301,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3079.197998046875,2.4968007902845284,0.6478456644073405,0.1397007008760428,3.8082307882799946,13.862277374167022,3.505987882614136,4.4092793464660645,46.1651106519632,-0.0058810315199217,1.312729404527355,2.5430493046583047,0.005788574175510236,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3059.197998046875,2.6129554547708818,0.6655514877090775,0.1591963847492991,3.807320464442901,13.862277374167022,3.506304979324341,4.40846061706543,45.975201821706605,-0.0060953508529676,1.3398504745863673,2.6608567376701844,0.006014281762045215,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3039.197998046875,2.734028930771799,0.6780035646115039,0.1755956856857752,3.798582429969245,13.862277374167022,3.5066795349121094,4.407815456390381,45.73349967393428,-0.0063668354380773,1.3604357266511171,2.7839099731170878,0.006302275210867542,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3029.197998046875,2.7892704153538017,0.6976640415372084,0.1930347226203647,3.7961489903878856,13.862277374167022,3.506837844848633,4.406894683837891,45.66444191765241,-0.0055241484582002,1.395819378414042,2.8475663650547687,0.006419404804768547,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3009.197998046875,2.9195425643148973,0.7095386967638923,0.2135375706786004,3.808399634601376,13.862277374167022,3.5073304176330566,4.406911849975586,45.30188869499428,-0.0056720944213479,1.4191110811912695,2.9781770916998096,0.00666202590450643,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2999.197998046875,2.997097412691744,0.714517982840365,0.2231090968810901,3.7811789717794473,13.862277374167022,3.507511615753174,4.405983924865723,45.215566500057896,-0.0077554848376846,1.429353335067805,3.0455385873025875,0.006783591045160353,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2979.197998046875,3.129509910704909,0.7324570844334853,0.2560459260884841,3.7808777377831873,13.862277374167022,3.5079214572906494,4.404102802276611,45.00839323084382,-0.007561691257933,1.4688316756275286,3.1831311896936763,0.007013959002232006,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2969.197998046875,3.200693844401281,0.7350977502351839,0.2621224361715207,3.758799716387038,13.862277374167022,3.5082194805145264,4.404179573059082,44.78395552160015,-0.0071183933696372,1.475010810512439,3.254128092647657,0.007140741980310172,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2949.197998046875,3.3439534914980644,0.7441161516003337,0.2788358922886181,3.7626324626025016,13.862277374167022,3.5086312294006348,4.40155839920044,44.61131113149466,-0.0078479533456278,1.496893357383824,3.3989242603432763,0.0073726191710530575,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2939.197998046875,3.411702187748076,0.7457559684111473,0.2850980588207418,3.746543770346479,13.862277374167022,3.508923053741455,4.401025295257568,44.421402300538674,-0.0067748696250011,1.5010074540156224,3.473398412720941,0.0075390406340025695,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2929.197998046875,3.4911881692410804,0.758990095604917,0.3110639714794512,3.7499317299071273,13.862277374167022,3.509317636489868,4.401721477508545,44.09337795535815,-0.0079485981493004,1.5358572698128292,3.549705073023328,0.0076565032912947195,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2909.197998046875,3.645420317008115,0.7655242869046571,0.3245351118300832,3.713559257994872,13.862277374167022,3.5098531246185303,4.3996124267578125,43.7998824913067,-0.0075350731486653,1.554226176898131,3.704770185256956,0.007816906302665988,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2899.197998046875,3.725997097754993,0.7690887831355111,0.328713343275811,3.721386619042414,13.862277374167022,3.5101890563964844,4.39909029006958,43.57544478238455,-0.0080576780746878,1.5645976391317509,3.782866604600155,0.007923457965981373,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2889.197998046875,3.804196981093892,0.768502278696439,0.3368439543560582,3.718630778481925,13.862277374167022,3.510488510131836,4.398048400878906,43.40280039144616,-0.0078199883338899,1.5628735018801407,3.863239344576583,0.008062377947344629,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2879.197998046875,3.882446332097723,0.7751985794557836,0.345916192702608,3.7024344002276055,13.862277374167022,3.5108933448791504,4.398214340209961,43.09204048670563,-0.007824935100383,1.582985743264207,3.944114163547048,0.008115217589872409,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2859.197998046875,4.049314187815336,0.7776615939750652,0.3545639163528219,3.689167020136143,13.862277374167022,3.5115318298339844,4.39618730545044,42.71222282696368,-0.0077374182494525,1.5906264915282755,4.108347934507326,0.008269017841514598,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2849.197998046875,4.129925197258962,0.7864134629370249,0.3653022886959604,3.688911996907188,13.862277374167022,3.5119869709014893,4.396618366241455,42.3496696047607,-0.0080611009443626,1.618907634926092,4.1909240532043235,0.008346643729487235,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2839.197998046875,4.223511978325098,0.7849059001326582,0.3623607997553697,3.669252368752234,13.862277374167022,3.5122880935668945,4.39512825012207,42.19428965411086,-0.0093586781066135,1.6139054516466824,4.275280809097071,0.008442783155160977,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2829.197998046875,4.315403621401548,0.7929965188490855,0.3726503752375575,3.650992745791137,13.862277374167022,3.5126962661743164,4.39484453201294,41.90079418897029,-0.009189164307645,1.6414265442616665,4.359779716307543,0.00844806035698939,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2819.197998046875,4.399289730571555,0.7905071281883902,0.3727306475660863,3.6470000248476793,13.862277374167022,3.513062000274658,4.394116401672363,41.65909204148129,-0.0083886109170006,1.6327787805734824,4.444242016236858,0.00847138696669017,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2799.197998046875,4.559025799555726,0.7879480842898656,0.3721783749082937,3.633428507234278,13.862277374167022,3.5138208866119385,4.392566204071045,41.15842330630873,-0.0074649101038421,1.6240576730705547,4.614426120503277,0.008509893509540373,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2789.197998046875,4.661347797654132,0.7834831488935041,0.356861032953946,3.643828435428469,13.862277374167022,3.51424241065979,4.392376899719238,40.84766340194513,-0.0102321998098406,1.6092356447659777,4.699405325832154,0.008527457762156798,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2779.197998046875,4.7470062901142125,0.7805371815008417,0.3442072898803388,3.638020767310288,13.862277374167022,3.514590263366699,4.391156196594238,40.6404901328478,-0.008565849246008,1.599720094879742,4.784975275746413,0.008544455609043461,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2769.197998046875,4.829284500940937,0.7831137477146376,0.354710453719598,3.6014989911488144,13.862277374167022,3.514974594116211,4.390438079833984,40.3815235452721,-0.0082278210826724,1.6080311728623582,4.870294438013023,0.008534476316670259,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2759.197998046875,4.921558720707683,0.7798038013002702,0.3501790284151981,3.6049486633981287,13.862277374167022,3.5153825283050537,4.390051364898682,40.08802807952592,-0.0092274219766745,1.5973828827878014,4.955664802079817,0.00851652334230324,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2749.197998046875,4.995475865438013,0.7796781690539643,0.3511982379434506,3.5810084725918103,13.862277374167022,3.515777587890625,4.389506340026856,39.81179705247348,-0.0073917144730329,1.5969837515033434,5.040624904859087,0.008439698102102211,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2729.197998046875,5.181166313450514,0.7697504413074299,0.3146789099997492,3.5598371753370928,13.862277374167022,3.516585111618042,4.388819694519043,39.22480612040133,-0.0082329007847492,1.566551158526658,5.207229999809674,0.008230341374866723,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2719.197998046875,5.259315584107766,0.7692663347611189,0.3085423657310854,3.538235624242698,13.862277374167022,3.516907215118408,4.387555122375488,39.034897289715374,-0.0078149270657251,1.5651209709298022,5.289065591619196,0.008158645775850681,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
