time,center_of_mass,eccentricity,variance_of_radius,mean_radius,rna_amount,c_light,c_dense,volume,velocity,aspect,smoothed_distance,smoothed_velocity,Mc,Mm,Chi,kp,kd,sigma,alpha,cplus,cminus,analytical_velocity,analytical_velocity_normV,analytical_velocity_avgR
5879.19775390625,0.0543827934230651,0.0823892365182489,0.0003840306473281,4.89912344733505,11.246901529447245,3.514408826828003,4.435403347015381,76.49873048331521,,0.9966002276268756,0.05675840377154523,1.2368662503096234e-5,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5,6.75463809880196e-5,0.004810659996336066,7.299891823403317e-5
4919.19775390625,0.156861875414752,0.0732232908672507,0.0004514653445309,4.899345287920771,11.246901529447245,3.5144312381744385,4.435632228851318,76.46420160538601,-0.0002334665654789,0.9973155717597966,0.15527528642521768,0.00019722628328603178,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5,0.00018470315022709843,0.013147090688720728,0.00019964180089614554
4439.19775390625,0.252123210665157,0.105491831334155,0.0002312459605163,4.902769881847231,11.246901529447245,3.5145440101623535,4.4365715980529785,76.3088216521455,-0.0003154172756754,1.0056111397016934,0.2553087523326273,0.00029826521631071135,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5,0.00030286652339081365,0.02157400393108894,0.0003280467509130417
4149.19775390625,0.348670081489068,0.0532442455291749,0.0006980462658693,4.888448232570883,11.246901529447245,3.514634370803833,4.43748664855957,76.1707061383693,-0.000304250768122,0.998581519115004,0.35330527648390797,0.00038398597622315775,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5,0.00042262252840736305,0.02976797390280231,0.00045353417041131897
3909.197998046875,0.4443430211818379,0.133326959303156,0.0006249022488657,4.903830329219341,11.246901529447245,3.5143511295318604,4.435665607452393,76.51599492480926,-0.0002967735413711,1.0090083179682754,0.4516582692408817,0.0005134137007034613,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5,0.0005345014238147558,0.03790711048141459,0.0005790659568212927
3729.197998046875,0.5408879305518952,0.0275101562045119,0.000729586619947,4.897391827099769,11.246901529447245,3.5144059658050537,4.436453342437744,76.41240828948645,-0.0004996558023006,1.000378619267522,0.54683767771434,0.0005435307505341838,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5,0.0006488953674892406,0.04568526366717711,0.000700050434684785
3569.197998046875,0.6420374270790208,0.2409999611278632,0.0018858981343875,4.903529425061697,11.246901529447245,3.51432728767395,4.436269760131836,76.48146604740438,-0.0004681181637599,1.0303700275097427,0.6485849393691574,0.0007028784276900818,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5,0.0007654565246904918,0.05386458612987061,0.0008287303390870892
3439.197998046875,0.7414800276084869,0.2258906191152345,0.0023402949343014,4.894674187973098,11.246901529447245,3.5143487453460693,4.4369215965271,76.41240829092624,-0.0003104199191834,1.0265331388312873,0.7441413658631995,0.0007740341062563785,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5,0.0008815518151322734,0.061399176761588,0.0009488081172667485
3319.197998046875,0.8332861593822953,0.2537426832230618,0.0032816922414195,4.909861768390578,11.246901529447245,3.5139858722686768,4.434724807739258,76.84401927394465,-0.0004176277135612,1.0338356241596784,0.8437155986466888,0.0009043049000862641,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5,0.0009880493393269701,0.06907882795294419,0.0010730661037941095
3209.197998046875,0.9417124953272386,0.2887791831324272,0.005437639503574,4.9078061824811545,11.246901529447245,3.5140650272369385,4.435931205749512,76.68863932118602,-0.0010078147689381,1.044500167382325,0.9473120572930664,0.0009691034071537125,1.0,1.0,-0.1,0.08,1.0,2.5,1.0,4.5,3.5,0.0011082107364516031,0.07685995107140797,0.0012011993971506399
